year,city,country,avg_temp_x,avg_temp_y
1881,London,United Kingdom,8.71,8.27
1882,London,United Kingdom,9.43,8.13
1883,London,United Kingdom,9.21,7.98
1884,London,United Kingdom,9.86,7.77
1885,London,United Kingdom,8.68,7.92
1886,London,United Kingdom,8.8,7.95
1887,London,United Kingdom,8.39,7.91
1888,London,United Kingdom,8.31,8.09
1889,London,United Kingdom,8.91,8.32
1890,London,United Kingdom,8.86,7.97
1891,London,United Kingdom,8.65,8.02
1892,London,United Kingdom,8.35,8.07
1893,London,United Kingdom,10.05,8.06
1894,London,United Kingdom,9.42,8.16
1895,London,United Kingdom,8.91,8.15
1896,London,United Kingdom,9.41,8.21
1897,London,United Kingdom,9.5,8.29
1898,London,United Kingdom,10.08,8.18
1899,London,United Kingdom,9.85,8.4
1900,London,United Kingdom,9.73,8.5
1901,London,United Kingdom,9.2,8.54
1902,London,United Kingdom,8.95,8.3
1903,London,United Kingdom,9.45,8.22
1904,London,United Kingdom,9.18,8.09
1905,London,United Kingdom,9.25,8.23
1906,London,United Kingdom,9.62,8.38
1907,London,United Kingdom,9.03,7.95
1908,London,United Kingdom,9.31,8.19
1909,London,United Kingdom,8.7,8.18
1910,London,United Kingdom,9.39,8.22
1911,London,United Kingdom,10.22,8.18
1912,London,United Kingdom,9.57,8.17
1913,London,United Kingdom,9.89,8.3
1914,London,United Kingdom,9.98,8.59
1915,London,United Kingdom,9.07,8.59
1916,London,United Kingdom,9.28,8.23
1917,London,United Kingdom,8.65,8.02
1918,London,United Kingdom,9.6,8.13
1919,London,United Kingdom,8.48,8.38
1920,London,United Kingdom,9.67,8.36
1921,London,United Kingdom,10.6,8.57
1922,London,United Kingdom,8.81,8.41
1923,London,United Kingdom,9.17,8.42
1924,London,United Kingdom,9.34,8.51
1925,London,United Kingdom,9.31,8.53
1926,London,United Kingdom,9.83,8.73
1927,London,United Kingdom,9.25,8.52
1928,London,United Kingdom,9.69,8.63
1929,London,United Kingdom,9.09,8.24
1930,London,United Kingdom,9.7,8.63
1931,London,United Kingdom,9.12,8.72
1932,London,United Kingdom,9.57,8.71
1933,London,United Kingdom,9.96,8.34
1934,London,United Kingdom,10.11,8.63
1935,London,United Kingdom,9.9,8.52
1936,London,United Kingdom,9.43,8.55
1937,London,United Kingdom,9.69,8.7
1938,London,United Kingdom,10.18,8.86
1939,London,United Kingdom,9.77,8.76
1940,London,United Kingdom,9.06,8.76
1941,London,United Kingdom,9.09,8.77
1942,London,United Kingdom,9.1,8.73
1943,London,United Kingdom,10.19,8.76
1944,London,United Kingdom,9.62,8.85
1945,London,United Kingdom,10.39,8.58
1946,London,United Kingdom,9.58,8.68
1947,London,United Kingdom,9.75,8.8
1948,London,United Kingdom,10.16,8.75
1949,London,United Kingdom,10.63,8.59
1950,London,United Kingdom,9.75,8.37
1951,London,United Kingdom,9.52,8.63
1952,London,United Kingdom,9.35,8.64
1953,London,United Kingdom,9.95,8.87
1954,London,United Kingdom,9.35,8.56
1955,London,United Kingdom,9.39,8.63
1956,London,United Kingdom,8.87,8.28
1957,London,United Kingdom,10.26,8.73
1958,London,United Kingdom,9.66,8.77
1959,London,United Kingdom,10.63,8.73
1960,London,United Kingdom,9.88,8.58
1961,London,United Kingdom,10.2,8.8
1962,London,United Kingdom,8.65,8.75
1963,London,United Kingdom,8.48,8.86
1964,London,United Kingdom,9.53,8.41
1965,London,United Kingdom,9.03,8.53
1966,London,United Kingdom,9.59,8.6
1967,London,United Kingdom,9.81,8.7
1968,London,United Kingdom,9.48,8.52
1969,London,United Kingdom,9.47,8.6
1970,London,United Kingdom,9.69,8.7
1971,London,United Kingdom,9.89,8.6
1972,London,United Kingdom,9.41,8.5
1973,London,United Kingdom,9.75,8.95
1974,London,United Kingdom,9.7,8.47
1975,London,United Kingdom,9.99,8.74
1976,London,United Kingdom,10.28,8.35
1977,London,United Kingdom,9.69,8.85
1978,London,United Kingdom,9.41,8.69
1979,London,United Kingdom,9.06,8.73
1980,London,United Kingdom,9.54,8.98
1981,London,United Kingdom,9.38,9.17
1982,London,United Kingdom,10.07,8.64
1983,London,United Kingdom,10.12,9.03
1984,London,United Kingdom,9.75,8.69
1985,London,United Kingdom,9.0,8.66
1986,London,United Kingdom,8.94,8.83
1987,London,United Kingdom,9.22,8.99
1988,London,United Kingdom,9.82,9.2
1989,London,United Kingdom,10.76,8.92
1990,London,United Kingdom,10.94,9.23
1991,London,United Kingdom,9.67,9.18
1992,London,United Kingdom,10.15,8.84
1993,London,United Kingdom,9.69,8.87
1994,London,United Kingdom,10.48,9.04
1995,London,United Kingdom,10.55,9.35
1996,London,United Kingdom,9.27,9.04
1997,London,United Kingdom,10.64,9.2
1998,London,United Kingdom,10.4,9.52
1999,London,United Kingdom,10.86,9.29
2000,London,United Kingdom,10.52,9.2
2001,London,United Kingdom,10.18,9.41
2002,London,United Kingdom,10.91,9.57
2003,London,United Kingdom,10.81,9.53
2004,London,United Kingdom,10.77,9.32
2005,London,United Kingdom,10.63,9.7
2006,London,United Kingdom,11.1,9.53
2007,London,United Kingdom,10.83,9.73
2008,London,United Kingdom,10.38,9.43
2009,London,United Kingdom,10.52,9.51
2010,London,United Kingdom,9.38,9.7
2011,London,United Kingdom,11.19,9.52
2012,London,United Kingdom,10.0,9.51
2013,London,United Kingdom,9.91,9.61
